MACHINE LEARNING ALGORITHM:,,,,,,
Random Forest Classifier,Gradient Boosting Classifier,Support Vector Machine,Logistic Regression,K-Neighbors Classifier,Neural MLP Classifier,Decision Tree Classifier
1) Age Diff: 0.070,1) Age Diff: 0.162,1) Head Strikes Attempts Per Min Diff: 0.361,1) Head Strikes Attempts Per Min Diff: 0.322,1) Avg Control Diff: 0.040,1) Avg Control Diff: 0.100,1) Age Diff: 0.088
2) Height Diff: 0.051,2) Reach Diff: 0.059,2) Age Diff: 0.335,2) Avg Total Strikes Attempts Per Min Diff: 0.276,2) Days Since Last Comp Diff: 0.026,2) Avg Takedowns Def Diff: 0.082,2) Height Diff: 0.045
3) Days Since Last Comp Diff: 0.039,3) Avg Head Strikes Landed Diff: 0.035,3) Avg Head Strikes Attempts Per Min Diff: 0.315,3) Distance Strikes Attempts Per Min Diff: 0.264,3) Control Diff: 0.024,3) Avg Takedowns Acc Diff: 0.079,3) Days Since Last Comp Diff: 0.044
4) Reach Diff: 0.038,4) Total Comp Time Diff: 0.033,4) Ko Losses Diff: 0.296,4) Age Diff: 0.220,4) Takedowns Acc Diff: 0.023,4) Takedowns Acc Diff: 0.073,4) Reach Diff: 0.039
5) Avg Head Strikes Landed Diff: 0.007,5) Win Loss Ratio Diff: 0.032,5) Avg Total Strikes Attempts Per Min Diff: 0.252,5) Total Strikes Landed Per Min Diff: 0.208,5) Age Diff: 0.021,5) Control Diff: 0.069,5) Avg Head Strikes Landed Diff: 0.015
6) Avg Sig Strikes Absorbed Diff: 0.007,6) Days Since Last Comp Diff: 0.032,6) Sub Landed Per Min Diff: 0.233,6) Avg Head Strikes Attempts Per Min Diff: 0.195,6) Takedowns Def Diff: 0.020,6) Takedowns Def Diff: 0.057,6) Avg Ground Strikes Attempts Per Min Diff: 0.012
7) Avg Head Strikes Absorbed Diff: 0.007,7) Avg Head Strikes Landed Per Min Diff: 0.024,7) Avg Head Strikes Landed Diff: 0.233,7) Sig Strikes Landed Per Min Diff: 0.180,7) Reach Diff: 0.016,7) Ground Strikes Def Diff: 0.055,7) Avg Clinch Strikes Acc Diff: 0.011
8) Avg Sig Strikes Landed Diff: 0.007,8) Avg Control Diff: 0.024,8) Distance Strikes Attempts Per Min Diff: 0.225,8) Avg Head Strikes Absorbed Diff: 0.176,8) Clinch Strikes Def Diff: 0.013,8) Avg Ground Strikes Def Diff: 0.049,8) Avg Total Comp Time Diff: 0.011
9) Avg Control Diff: 0.007,9) Num Fights Diff: 0.023,9) Sub Absorbed Diff: 0.193,9) Ko Losses Diff: 0.174,9) Avg Takedowns Def Diff: 0.012,9) Clinch Strikes Def Diff: 0.047,9) Total Comp Time Diff: 0.011
10) Total Comp Time Diff: 0.007,10) Avg Sig Strikes Absorbed Diff: 0.021,10) Avg Head Strikes Absorbed Diff: 0.192,10) Avg Head Strikes Landed Diff: 0.172,10) Height Diff: 0.010,10) Avg Sub Acc Diff: 0.046,10) Avg Sig Strikes Absorbed Diff: 0.010
11) Avg Leg Strikes Acc Diff: 0.007,11) Avg Takedowns Landed Diff: 0.018,11) Sub Landed Diff: 0.187,11) Sub Landed Per Min Diff: 0.147,11) Avg Takedowns Acc Diff: 0.009,11) Leg Strikes Def Diff: 0.046,11) Avg Leg Strikes Acc Diff: 0.010
12) Avg Head Strikes Landed Per Min Diff: 0.007,12) Avg Takedowns Def Diff: 0.015,12) Avg Total Strikes Def Diff: 0.183,12) Avg Total Strikes Def Diff: 0.138,12) Sub Def Diff: 0.009,12) Sub Acc Diff: 0.046,12) Avg Total Strikes Landed Diff: 0.010
13) Avg Head Strikes Attempts Diff: 0.007,13) Avg Distance Strikes Landed Diff: 0.014,13) Head Strikes Absorbed Diff: 0.178,13) Sub Landed Diff: 0.129,13) Ground Strikes Def Diff: 0.009,13) Avg Sub Def Diff: 0.045,13) Control Diff: 0.009
14) Avg Takedowns Def Diff: 0.006,14) Avg Head Strikes Absorbed Diff: 0.012,14) Sig Strikes Absorbed Diff: 0.168,14) Sig Strikes Absorbed Diff: 0.113,14) Leg Strikes Def Diff: 0.008,14) Sub Def Diff: 0.042,14) Avg Stamina Diff: 0.009
15) Win Loss Ratio Diff: 0.006,15) Avg Head Strikes Def Diff: 0.012,15) Ground Strikes Attempts Per Min Diff: 0.160,15) Head Strikes Absorbed Diff: 0.109,15) Body Strikes Def Diff: 0.008,15) Avg Clinch Strikes Def Diff: 0.041,15) Avg Takedowns Attempts Per Min Diff: 0.008
16) Avg Ground Strikes Acc Diff: 0.006,16) Avg Takedowns Attempts Per Min Diff: 0.011,16) Avg Sub Def Diff: 0.158,16) Avg Sig Strikes Attempts Per Min Diff: 0.105,16) Sub Acc Diff: 0.008,16) Avg Body Strikes Def Diff: 0.041,16) Avg Total Distance Strikes Absorbed Diff: 0.008
17) Avg Body Strikes Acc Diff: 0.006,17) Stamina Diff: 0.010,17) Avg Sig Strikes Landed Per Min Diff: 0.157,17) Avg Sub Def Diff: 0.104,17) Clinch Strikes Acc Diff: 0.008,17) Body Strikes Def Diff: 0.040,17) Leg Strikes Absorbed Diff: 0.008
18) Avg Distance Strikes Landed Diff: 0.006,18) Ko Losses Diff: 0.010,18) Avg Ko Losses Diff: 0.154,18) Ground Strikes Attempts Per Min Diff: 0.102,18) Ground Strikes Acc Diff: 0.006,18) Total Ground Strikes Absorbed Diff: 0.037,18) Win Loss Ratio Diff: 0.008
19) Avg Total Strikes Acc Diff: 0.006,19) Head Strikes Def Diff: 0.010,19) Avg Takedowns Landed Diff: 0.142,19) Days Since Last Comp Diff: 0.101,19) Avg Sub Def Diff: 0.005,19) Avg Head Strikes Acc Diff: 0.036,19) Leg Strikes Def Diff: 0.008
20) Avg Distance Strikes Absorbed Diff: 0.006,20) Head Strikes Landed Per Min Diff: 0.010,20) Avg Distance Strikes Landed Diff: 0.142,20) Clinch Strikes Landed Per Min Diff: 0.098,20) Total Ground Strikes Absorbed Diff: 0.005,20) Avg Leg Strikes Def Diff: 0.035,20) Avg Leg Strikes Absorbed Diff: 0.008
21) Avg Ground Strikes Def Diff: 0.006,21) Clinch Strikes Attempts Per Min Diff: 0.009,21) Clinch Strikes Landed Per Min Diff: 0.127,21) Sub Absorbed Diff: 0.096,21) Body Strikes Acc Diff: 0.004,21) Avg Clinch Strikes Acc Diff: 0.034,21) Total Strikes Def Diff: 0.008
22) Avg Takedowns Attempts Per Min Diff: 0.006,22) Avg Sig Strikes Acc Diff: 0.009,22) Takedowns Absorbed Diff: 0.126,22) Distance Strikes Acc Diff: 0.091,22) Leg Strikes Acc Diff: 0.004,22) Avg Sig Strikes Acc Diff: 0.033,22) Sig Strikes Def Diff: 0.008
23) Avg Head Strikes Acc Diff: 0.006,23) Avg Ground Strikes Landed Diff: 0.009,23) Avg Stamina Diff: 0.125,23) Total Sig Strikes Absorbed Diff: 0.089,23) Avg Head Strikes Landed Per Min Diff: 0.003,23) Avg Body Strikes Landed Per Min Diff: 0.030,23) Avg Clinch Strikes Absorbed Diff: 0.008
24) Avg Clinch Strikes Def Diff: 0.006,24) Avg Ground Strikes Acc Diff: 0.009,24) Total Body Strikes Absorbed Diff: 0.124,24) Avg Clinch Strikes Landed Per Min Diff: 0.085,24) Avg Ground Strikes Def Diff: 0.003,24) Avg Ground Strikes Acc Diff: 0.030,24) Leg Strikes Attempts Per Min Diff: 0.007
25) Avg Distance Strikes Def Diff: 0.006,25) Avg Head Strikes Attempts Diff: 0.008,25) Distance Strikes Acc Diff: 0.124,25) Head Strikes Landed Per Min Diff: 0.083,25) Avg Leg Strikes Def Diff: 0.003,25) Avg Body Strikes Acc Diff: 0.029,25) Avg Takedowns Acc Diff: 0.007
26) Head Strikes Acc Diff: 0.006,26) Sig Strikes Landed Diff: 0.008,26) Avg Lose Streak Diff: 0.123,26) Avg Sig Strikes Def Diff: 0.083,26) Total Comp Time Diff: 0.003,26) Avg Head Strikes Landed Per Min Diff: 0.029,26) Clinch Strikes Attempts Per Min Diff: 0.007
27) Avg Clinch Strikes Attempts Per Min Diff: 0.006,27) Avg Total Head Strikes Absorbed Diff: 0.008,27) Stamina Diff: 0.122,27) Avg Takedowns Landed Diff: 0.083,27) Avg Leg Strikes Acc Diff: 0.003,27) Clinch Strikes Acc Diff: 0.028,27) Avg Clinch Strikes Def Diff: 0.007
28) Avg Ground Strikes Landed Diff: 0.006,28) Sig Strikes Def Diff: 0.008,28) Avg Num Fights Diff: 0.120,28) Avg Stamina Diff: 0.083,28) Ground Strikes Landed Diff: 0.003,28) Avg Total Strikes Attempts Per Min Diff: 0.028,28) Avg Sub Attempts Per Min Diff: 0.007
29) Avg Head Strikes Def Diff: 0.006,29) Distance Strikes Def Diff: 0.008,29) Avg Clinch Strikes Landed Per Min Diff: 0.113,29) Avg Ko Losses Diff: 0.082,29) Total Leg Strikes Absorbed Diff: 0.003,29) Ground Strikes Landed Diff: 0.028,29) Avg Leg Strikes Landed Per Min Diff: 0.007
30) Avg Ground Strikes Attempts Per Min Diff: 0.006,30) Avg Distance Strikes Def Diff: 0.007,30) Days Since Last Comp Diff: 0.113,30) Sig Strikes Attempts Per Min Diff: 0.082,30) Avg Ground Strikes Attempts Per Min Diff: 0.003,30) Avg Total Strikes Landed Per Min Diff: 0.027,30) Avg Win Streak Diff: 0.007
31) Avg Total Strikes Absorbed Diff: 0.006,31) Avg Takedowns Acc Diff: 0.007,31) Avg Sig Strikes Def Diff: 0.111,31) Avg Sig Strikes Absorbed Diff: 0.081,31) Body Strikes Landed Per Min Diff: 0.003,31) Avg Distance Strikes Acc Diff: 0.027,31) Num Fights Diff: 0.007
32) Head Strikes Def Diff: 0.006,32) Distance Strikes Attempts Per Min Diff: 0.007,32) Total Strikes Attempts Per Min Diff: 0.111,32) Leg Strikes Attempts Per Min Diff: 0.081,32) Ground Strikes Absorbed Diff: 0.002,32) Avg Ground Strikes Landed Diff: 0.027,32) Leg Strikes Landed Per Min Diff: 0.007
33) Avg Stamina Diff: 0.006,33) Avg Sig Strikes Landed Diff: 0.007,33) Sub Def Diff: 0.109,33) Avg Sub Absorbed Diff: 0.080,33) Avg Clinch Strikes Def Diff: 0.002,33) Avg Leg Strikes Acc Diff: 0.027,33) Avg Takedowns Landed Diff: 0.007
34) Sig Strikes Acc Diff: 0.006,34) Body Strikes Acc Diff: 0.007,34) Avg Total Strikes Landed Per Min Diff: 0.103,34) Sub Def Diff: 0.080,34) Body Strikes Attempts Per Min Diff: 0.002,34) Total Clinch Strikes Absorbed Diff: 0.026,34) Avg Takedowns Landed Per Min Diff: 0.007
35) Sig Strikes Def Diff: 0.006,35) Lose Streak Diff: 0.007,35) Leg Strikes Attempts Per Min Diff: 0.102,35) Avg Sig Strikes Landed Diff: 0.080,35) Avg Sig Strikes Landed Per Min Diff: 0.002,35) Ground Strikes Absorbed Diff: 0.026,35) Leg Strikes Landed Diff: 0.007
36) Avg Sig Strikes Acc Diff: 0.006,36) Avg Distance Strikes Absorbed Diff: 0.007,36) Avg Total Sig Strikes Absorbed Diff: 0.100,36) Avg Distance Strikes Landed Diff: 0.079,36) Avg Head Strikes Attempts Per Min Diff: 0.002,36) Avg Body Strikes Attempts Per Min Diff: 0.026,36) Ground Strikes Acc Diff: 0.007
37) Avg Takedowns Acc Diff: 0.006,37) Avg Stamina Diff: 0.007,37) Sig Strikes Def Diff: 0.095,37) Total Body Strikes Absorbed Diff: 0.077,37) Avg Total Strikes Landed Per Min Diff: 0.002,37) Avg Total Ground Strikes Absorbed Diff: 0.025,37) Body Strikes Attempts Per Min Diff: 0.007
38) Avg Distance Strikes Acc Diff: 0.006,38) Avg Total Takedowns Absorbed Diff: 0.006,38) Clinch Strikes Attempts Per Min Diff: 0.094,38) Avg Head Strikes Landed Per Min Diff: 0.075,38) Avg Sub Acc Diff: 0.002,38) Total Comp Time Diff: 0.025,38) Avg Body Strikes Acc Diff: 0.007
39) Avg Takedowns Landed Diff: 0.006,39) Leg Strikes Landed Per Min Diff: 0.006,39) Avg Sig Strikes Landed Diff: 0.093,39) Avg Sig Strikes Landed Per Min Diff: 0.070,39) Total Takedowns Absorbed Diff: 0.002,39) Body Strikes Acc Diff: 0.025,39) Total Strikes Attempts Per Min Diff: 0.007
40) Avg Body Strikes Landed Diff: 0.006,40) Control Diff: 0.006,40) Lose Streak Diff: 0.091,40) Clinch Strikes Attempts Per Min Diff: 0.069,40) Head Strikes Acc Diff: 0.002,40) Avg Head Strikes Attempts Per Min Diff: 0.025,40) Avg Head Strikes Absorbed Diff: 0.006
41) Avg Total Comp Time Diff: 0.006,41) Avg Head Strikes Acc Diff: 0.006,41) Avg Ground Strikes Attempts Per Min Diff: 0.089,41) Total Strikes Attempts Per Min Diff: 0.067,41) Leg Strikes Attempts Per Min Diff: 0.002,41) Avg Leg Strikes Attempts Per Min Diff: 0.025,41) Takedowns Acc Diff: 0.006
42) Avg Clinch Strikes Acc Diff: 0.006,42) Leg Strikes Attempts Per Min Diff: 0.006,42) Avg Total Takedowns Absorbed Diff: 0.088,42) Stamina Diff: 0.067,42) Avg Body Strikes Def Diff: 0.002,42) Avg Ground Strikes Landed Per Min Diff: 0.024,42) Avg Ground Strikes Acc Diff: 0.006
43) Avg Leg Strikes Def Diff: 0.006,43) Avg Ground Strikes Def Diff: 0.006,43) Avg Leg Strikes Attempts Per Min Diff: 0.088,43) Avg Lose Streak Diff: 0.066,43) Ground Strikes Attempts Per Min Diff: 0.002,43) Head Strikes Landed Diff: 0.024,43) Avg Control Diff: 0.006
44) Avg Clinch Strikes Absorbed Diff: 0.006,44) Avg Ground Strikes Landed Per Min Diff: 0.006,44) Height Diff: 0.087,44) Body Strikes Attempts Per Min Diff: 0.066,44) Total Strikes Landed Per Min Diff: 0.002,44) Total Leg Strikes Absorbed Diff: 0.024,44) Avg Ground Strikes Landed Diff: 0.006
45) Avg Total Strikes Def Diff: 0.006,45) Ground Strikes Attempts Per Min Diff: 0.006,45) Total Strikes Landed Per Min Diff: 0.085,45) Total Total Strikes Absorbed Diff: 0.063,45) Avg Total Strikes Attempts Per Min Diff: 0.002,45) Avg Takedowns Attempts Per Min Diff: 0.024,45) Clinch Strikes Def Diff: 0.006
46) Avg Distance Strikes Landed Per Min Diff: 0.006,46) Head Strikes Absorbed Diff: 0.006,46) Body Strikes Attempts Per Min Diff: 0.080,46) Takedowns Absorbed Diff: 0.062,46) Avg Distance Strikes Landed Per Min Diff: 0.002,46) Avg Total Leg Strikes Absorbed Diff: 0.023,46) Avg Sig Strikes Acc Diff: 0.006
47) Total Strikes Acc Diff: 0.006,47) Avg Total Comp Time Diff: 0.006,47) Avg Total Body Strikes Absorbed Diff: 0.080,47) Sig Strikes Def Diff: 0.062,47) Distance Strikes Def Diff: 0.002,47) Avg Sig Strikes Landed Per Min Diff: 0.023,47) Avg Distance Strikes Def Diff: 0.006
48) Head Strikes Landed Diff: 0.006,48) Height Diff: 0.006,48) Body Strikes Acc Diff: 0.080,48) Lose Streak Diff: 0.060,48) Avg Ground Strikes Landed Per Min Diff: 0.002,48) Avg Ground Strikes Attempts Per Min Diff: 0.023,48) Avg Body Strikes Def Diff: 0.006
49) Avg Body Strikes Absorbed Diff: 0.006,49) Avg Total Ground Strikes Absorbed Diff: 0.006,49) Avg Sig Strikes Absorbed Diff: 0.079,49) Total Distance Strikes Absorbed Diff: 0.060,49) Avg Clinch Strikes Landed Per Min Diff: 0.002,49) Clinch Strikes Attempts Per Min Diff: 0.023,49) Avg Head Strikes Landed Per Min Diff: 0.006
50) Avg Body Strikes Def Diff: 0.006,50) Takedowns Acc Diff: 0.006,50) Avg Clinch Strikes Def Diff: 0.077,50) Avg Sig Strikes Acc Diff: 0.060,50) Total Clinch Strikes Absorbed Diff: 0.001,50) Stamina Diff: 0.023,50) Total Leg Strikes Absorbed Diff: 0.006
51) Avg Clinch Strikes Landed Per Min Diff: 0.006,51) Avg Leg Strikes Def Diff: 0.006,51) Takedowns Def Diff: 0.074,51) Avg Total Strikes Landed Per Min Diff: 0.059,51) Avg Total Ground Strikes Absorbed Diff: 0.001,51) Distance Strikes Attempts Per Min Diff: 0.022,51) Avg Sig Strikes Def Diff: 0.006
52) Total Strikes Def Diff: 0.006,52) Head Strikes Attempts Per Min Diff: 0.005,52) Avg Reversals Diff: 0.073,52) Avg Leg Strikes Attempts Per Min Diff: 0.058,52) Total Strikes Attempts Per Min Diff: 0.001,52) Ground Strikes Attempts Per Min Diff: 0.022,52) Avg Distance Strikes Absorbed Diff: 0.006
53) Control Diff: 0.006,53) Win Streak Diff: 0.005,53) Total Sub Absorbed Diff: 0.073,53) Body Strikes Acc Diff: 0.056,53) Avg Head Strikes Acc Diff: 0.001,53) Avg Takedowns Landed Diff: 0.022,53) Leg Strikes Acc Diff: 0.006
54) Avg Ground Strikes Absorbed Diff: 0.006,54) Avg Body Strikes Landed Per Min Diff: 0.005,54) Sig Strikes Attempts Per Min Diff: 0.072,54) Avg Ground Strikes Attempts Per Min Diff: 0.053,54) Avg Ground Strikes Absorbed Diff: 0.001,54) Avg Total Takedowns Absorbed Diff: 0.022,54) Avg Ground Strikes Landed Per Min Diff: 0.006
55) Body Strikes Acc Diff: 0.006,55) Avg Head Strikes Attempts Per Min Diff: 0.005,55) Avg Sig Strikes Acc Diff: 0.072,55) Height Diff: 0.052,55) Head Strikes Absorbed Diff: 0.001,55) Num Fights Diff: 0.022,55) Avg Num Fights Diff: 0.006
56) Distance Strikes Def Diff: 0.006,56) Avg Leg Strikes Attempts Per Min Diff: 0.004,56) Ground Strikes Absorbed Diff: 0.072,56) Avg Total Body Strikes Absorbed Diff: 0.050,56) Avg Ground Strikes Acc Diff: 0.001,56) Head Strikes Acc Diff: 0.022,56) Clinch Strikes Landed Per Min Diff: 0.006
