MACHINE LEARNING ALGORITHM:,,,,,,
110) Leg Strikes Acc Diff: 0.005,110) Avg Leg Strikes Absorbed Diff: 0.002,110) Total Ground Strikes Absorbed Diff: 0.034,110) Total Strikes Absorbed Diff: 0.018,110) Avg Body Strikes Absorbed Diff: 0.000,110) Clinch Strikes Absorbed Diff: 0.015,110) Avg Body Strikes Landed Diff: 0.004
111) Avg Total Head Strikes Absorbed Diff: 0.005,111) Avg Clinch Strikes Acc Diff: 0.002,111) Leg Strikes Absorbed Diff: 0.033,111) Takedowns Attempts Per Min Diff: 0.018,111) Distance Strikes Absorbed Diff: 0.000,111) Avg Total Comp Time Diff: 0.015,111) Body Strikes Def Diff: 0.004
112) Total Body Strikes Absorbed Diff: 0.005,112) Avg Total Sig Strikes Absorbed Diff: 0.002,112) Avg Leg Strikes Def Diff: 0.033,112) Leg Strikes Def Diff: 0.017,112) Total Strikes Absorbed Diff: 0.000,112) Avg Leg Strikes Absorbed Diff: 0.014,112) Total Clinch Strikes Absorbed Diff: 0.004
113) Total Strikes Landed Per Min Diff: 0.005,113) Avg Total Strikes Def Diff: 0.002,113) Avg Body Strikes Absorbed Diff: 0.031,113) Head Strikes Acc Diff: 0.017,113) Avg Ground Strikes Landed Diff: 0.000,113) Avg Total Clinch Strikes Absorbed Diff: 0.014,113) Avg Total Total Strikes Absorbed Diff: 0.004
114) Avg Total Takedowns Absorbed Diff: 0.005,114) Total Strikes Absorbed Diff: 0.002,114) Body Strikes Landed Per Min Diff: 0.030,114) Clinch Strikes Def Diff: 0.017,114) Avg Clinch Strikes Attempts Per Min Diff: 0.000,114) Sig Strikes Absorbed Diff: 0.014,114) Avg Total Sub Absorbed Diff: 0.004
115) Avg Sig Strikes Attempts Per Min Diff: 0.005,115) Takedowns Landed Diff: 0.002,115) Avg Takedowns Attempts Per Min Diff: 0.030,115) Avg Total Sub Absorbed Diff: 0.017,115) Avg Head Strikes Attempts Diff: 0.000,115) Avg Total Head Strikes Absorbed Diff: 0.014,115) Avg Head Strikes Def Diff: 0.004
116) Total Strikes Attempts Per Min Diff: 0.005,116) Avg Total Total Strikes Absorbed Diff: 0.002,116) Avg Head Strikes Attempts Diff: 0.030,116) Avg Ground Strikes Def Diff: 0.016,116) Sig Strikes Acc Diff: 0.000,116) Total Strikes Absorbed Diff: 0.014,116) Avg Leg Strikes Def Diff: 0.004
117) Body Strikes Absorbed Diff: 0.005,117) Total Total Strikes Absorbed Diff: 0.002,117) Takedowns Attempts Per Min Diff: 0.029,117) Avg Ground Strikes Landed Per Min Diff: 0.016,117) Avg Total Head Strikes Absorbed Diff: 0.000,117) Avg Total Strikes Def Diff: 0.014,117) Total Total Strikes Absorbed Diff: 0.004
118) Distance Strikes Landed Diff: 0.005,118) Distance Strikes Landed Per Min Diff: 0.002,118) Sig Strikes Landed Per Min Diff: 0.026,118) Body Strikes Absorbed Diff: 0.015,118) Ko Losses Diff: 0.000,118) Sig Strikes Def Diff: 0.014,118) Total Ground Strikes Absorbed Diff: 0.004
119) Head Strikes Attempts Per Min Diff: 0.005,119) Sig Strikes Landed Per Min Diff: 0.001,119) Avg Knockdowns Diff: 0.026,119) Reach Diff: 0.015,119) Avg Sig Strikes Acc Diff: 0.000,119) Avg Head Strikes Absorbed Diff: 0.014,119) Avg Takedowns Def Diff: 0.004
120) Leg Strikes Absorbed Diff: 0.005,120) Total Leg Strikes Absorbed Diff: 0.001,120) Leg Strikes Def Diff: 0.026,120) Head Strikes Def Diff: 0.015,120) Takedowns Absorbed Diff: 0.000,120) Avg Total Body Strikes Absorbed Diff: 0.013,120) Clinch Strikes Acc Diff: 0.003
121) Takedowns Attempts Per Min Diff: 0.005,121) Avg Sig Strikes Landed Per Min Diff: 0.001,121) Avg Ground Strikes Absorbed Diff: 0.025,121) Avg Leg Strikes Landed Diff: 0.015,121) Avg Total Strikes Acc Diff: 0.000,121) Total Strikes Attempts Per Min Diff: 0.013,121) Stamina Diff: 0.003
122) Total Total Strikes Absorbed Diff: 0.005,122) Distance Strikes Landed Diff: 0.001,122) Clinch Strikes Def Diff: 0.025,122) Avg Head Strikes Acc Diff: 0.014,122) Distance Strikes Landed Per Min Diff: 0.000,122) Takedowns Absorbed Diff: 0.013,122) Ground Strikes Landed Diff: 0.003
123) Total Sig Strikes Absorbed Diff: 0.005,123) Avg Ko Losses Diff: 0.001,123) Avg Takedowns Landed Per Min Diff: 0.025,123) Avg Knockdowns Diff: 0.014,123) Avg Ko Losses Diff: 0.000,123) Avg Head Strikes Attempts Diff: 0.013,123) Sig Strikes Landed Per Min Diff: 0.003
124) Sig Strikes Landed Per Min Diff: 0.005,124) Avg Clinch Strikes Landed Diff: 0.001,124) Ground Strikes Def Diff: 0.025,124) Takedowns Acc Diff: 0.013,124) Leg Strikes Absorbed Diff: 0.000,124) Avg Sig Strikes Absorbed Diff: 0.013,124) Clinch Strikes Landed Diff: 0.003
125) Leg Strikes Landed Per Min Diff: 0.005,125) Clinch Strikes Def Diff: 0.001,125) Avg Total Sub Absorbed Diff: 0.025,125) Avg Reversals Diff: 0.013,125) Sig Strikes Landed Diff: 0.000,125) Clinch Strikes Landed Diff: 0.012,125) Avg Sub Acc Diff: 0.003
126) Ground Strikes Def Diff: 0.005,126) Takedowns Absorbed Diff: 0.001,126) Avg Leg Strikes Landed Diff: 0.023,126) Avg Leg Strikes Landed Per Min Diff: 0.013,126) Total Sig Strikes Absorbed Diff: 0.000,126) Avg Total Strikes Absorbed Diff: 0.012,126) Distance Strikes Landed Per Min Diff: 0.003
127) Distance Strikes Landed Per Min Diff: 0.005,127) Clinch Strikes Landed Diff: 0.001,127) Body Strikes Absorbed Diff: 0.023,127) Avg Win Streak Diff: 0.013,127) Avg Clinch Strikes Landed Diff: 0.000,127) Avg Sig Strikes Landed Diff: 0.012,127) Avg Clinch Strikes Attempts Per Min Diff: 0.003
128) Avg Num Fights Diff: 0.005,128) Avg Knockdowns Diff: 0.001,128) Avg Clinch Strikes Acc Diff: 0.022,128) Body Strikes Landed Diff: 0.012,128) Avg Sub Attempts Per Min Diff: 0.000,128) Avg Total Total Strikes Absorbed Diff: 0.012,128) Distance Strikes Attempts Per Min Diff: 0.003
129) Sig Strikes Attempts Per Min Diff: 0.005,129) Avg Clinch Strikes Def Diff: 0.001,129) Sig Strikes Landed Diff: 0.021,129) Head Strikes Landed Diff: 0.012,129) Stamina Diff: 0.000,129) Avg Body Strikes Absorbed Diff: 0.012,129) Takedowns Def Diff: 0.003
130) Avg Win Streak Diff: 0.005,130) Ground Strikes Def Diff: 0.001,130) Body Strikes Landed Diff: 0.021,130) Reversals Diff: 0.012,130) Avg Total Distance Strikes Absorbed Diff: 0.000,130) Ko Losses Diff: 0.012,130) Total Takedowns Absorbed Diff: 0.003
131) Clinch Strikes Landed Diff: 0.004,131) Avg Takedowns Absorbed Diff: 0.001,131) Head Strikes Landed Diff: 0.021,131) Avg Sub Landed Diff: 0.011,131) Avg Knockdowns Diff: 0.000,131) Avg Total Sig Strikes Absorbed Diff: 0.011,131) Win Streak Diff: 0.003
132) Leg Strikes Landed Diff: 0.004,132) Total Strikes Acc Diff: 0.001,132) Avg Total Ground Strikes Absorbed Diff: 0.020,132) Knockdowns Diff: 0.011,132) Num Fights Diff: 0.000,132) Avg Distance Strikes Landed Diff: 0.011,132) Total Body Strikes Absorbed Diff: 0.003
133) Body Strikes Landed Diff: 0.004,133) Ground Strikes Landed Per Min Diff: 0.001,133) Head Strikes Def Diff: 0.020,133) Avg Total Total Strikes Absorbed Diff: 0.010,133) Sig Strikes Def Diff: 0.000,133) Avg Num Fights Diff: 0.011,133) Avg Total Body Strikes Absorbed Diff: 0.003
134) Takedowns Def Diff: 0.004,134) Total Ground Strikes Absorbed Diff: 0.001,134) Avg Ground Strikes Acc Diff: 0.020,134) Distance Strikes Absorbed Diff: 0.010,134) Avg Distance Strikes Def Diff: 0.000,134) Avg Takedowns Landed Per Min Diff: 0.011,134) Total Strikes Absorbed Diff: 0.003
135) Total Takedowns Absorbed Diff: 0.004,135) Avg Sig Strikes Attempts Per Min Diff: 0.001,135) Avg Body Strikes Attempts Per Min Diff: 0.019,135) Avg Takedowns Attempts Per Min Diff: 0.010,135) Avg Sub Absorbed Diff: 0.000,135) Days Since Last Comp Diff: 0.011,135) Ground Strikes Attempts Per Min Diff: 0.003
136) Takedowns Acc Diff: 0.004,136) Body Strikes Attempts Per Min Diff: 0.001,136) Total Strikes Landed Diff: 0.019,136) Avg Takedowns Absorbed Diff: 0.010,136) Sub Absorbed Diff: 0.000,136) Avg Clinch Strikes Absorbed Diff: 0.011,136) Avg Sig Strikes Attempts Per Min Diff: 0.003
137) Clinch Strikes Absorbed Diff: 0.004,137) Ground Strikes Absorbed Diff: 0.001,137) Head Strikes Acc Diff: 0.019,137) Avg Leg Strikes Acc Diff: 0.010,137) Comp Time Diff: 0.000,137) Sig Strikes Acc Diff: 0.010,137) Ko Losses Diff: 0.003
138) Avg Ko Losses Diff: 0.004,138) Sub Attempts Per Min Diff: 0.001,138) Reach Diff: 0.017,138) Avg Clinch Strikes Acc Diff: 0.010,138) Avg Comp Time Diff: 0.000,138) Avg Head Strikes Def Diff: 0.010,138) Avg Head Strikes Acc Diff: 0.003
139) Avg Lose Streak Diff: 0.004,139) Sub Acc Diff: 0.001,139) Clinch Strikes Absorbed Diff: 0.017,139) Avg Leg Strikes Absorbed Diff: 0.008,139) Body Strikes Absorbed Diff: -0.000,139) Avg Sub Absorbed Diff: 0.010,139) Avg Sub Landed Per Min Diff: 0.003
140) Ground Strikes Landed Per Min Diff: 0.004,140) Body Strikes Landed Per Min Diff: 0.000,140) Takedowns Acc Diff: 0.017,140) Leg Strikes Landed Diff: 0.008,140) Avg Win Streak Diff: -0.000,140) Avg Clinch Strikes Landed Diff: 0.009,140) Avg Total Strikes Attempts Per Min Diff: 0.003
141) Leg Strikes Def Diff: 0.004,141) Total Head Strikes Absorbed Diff: 0.000,141) Avg Ground Strikes Landed Diff: 0.014,141) Clinch Strikes Acc Diff: 0.007,141) Avg Lose Streak Diff: -0.000,141) Win Streak Diff: 0.009,141) Lose Streak Diff: 0.002
142) Ground Strikes Attempts Per Min Diff: 0.004,142) Total Strikes Attempts Per Min Diff: 0.000,142) Avg Total Distance Strikes Absorbed Diff: 0.014,142) Clinch Strikes Landed Diff: 0.007,142) Avg Sub Landed Per Min Diff: -0.000,142) Reversals Diff: 0.009,142) Sub Def Diff: 0.002
143) Takedowns Landed Per Min Diff: 0.004,143) Body Strikes Landed Diff: 0.000,143) Avg Distance Strikes Attempts Per Min Diff: 0.013,143) Avg Clinch Strikes Landed Diff: 0.007,143) Avg Leg Strikes Landed Diff: -0.000,143) Total Strikes Acc Diff: 0.009,143) Head Strikes Attempts Per Min Diff: 0.002
144) Ground Strikes Absorbed Diff: 0.004,144) Total Distance Strikes Absorbed Diff: 0.000,144) Avg Leg Strikes Landed Per Min Diff: 0.013,144) Ground Strikes Def Diff: 0.006,144) Avg Reversals Diff: -0.000,144) Takedowns Landed Per Min Diff: 0.009,144) Head Strikes Landed Diff: 0.002
145) Avg Knockdowns Diff: 0.004,145) Avg Sig Strikes Def Diff: 0.000,145) Clinch Strikes Acc Diff: 0.012,145) Leg Strikes Acc Diff: 0.006,145) Avg Total Leg Strikes Absorbed Diff: -0.000,145) Distance Strikes Landed Diff: 0.009,145) Avg Total Sig Strikes Absorbed Diff: 0.002
146) Avg Sub Landed Per Min Diff: 0.003,146) Avg Ground Strikes Absorbed Diff: 0.000,146) Distance Strikes Absorbed Diff: 0.011,146) Body Strikes Def Diff: 0.005,146) Lose Streak Diff: -0.000,146) Avg Body Strikes Landed Diff: 0.008,146) Total Strikes Landed Per Min Diff: 0.002
147) Ground Strikes Landed Diff: 0.003,147) Sig Strikes Absorbed Diff: 0.000,147) Avg Takedowns Absorbed Diff: 0.010,147) Avg Takedowns Acc Diff: 0.005,147) Avg Total Total Strikes Absorbed Diff: -0.000,147) Head Strikes Def Diff: 0.008,147) Avg Knockdowns Diff: 0.002
148) Avg Total Sub Absorbed Diff: 0.003,148) Avg Sub Def Diff: 0.000,148) Avg Body Strikes Def Diff: 0.010,148) Ground Strikes Acc Diff: 0.005,148) Reversals Diff: -0.000,148) Sub Landed Diff: 0.008,148) Sub Landed Per Min Diff: 0.002
149) Avg Reversals Diff: 0.003,149) Sig Strikes Attempts Per Min Diff: 0.000,149) Ground Strikes Landed Diff: 0.009,149) Avg Sub Landed Per Min Diff: 0.005,149) Avg Total Sub Absorbed Diff: -0.000,149) Sig Strikes Landed Diff: 0.007,149) Sub Attempts Per Min Diff: 0.002
150) Win Streak Diff: 0.003,150) Leg Strikes Absorbed Diff: 0.000,150) Avg Comp Time Diff: 0.008,150) Total Strikes Acc Diff: 0.005,150) Total Strikes Acc Diff: -0.000,150) Total Strikes Def Diff: 0.007,150) Head Strikes Absorbed Diff: 0.002
151) Sub Attempts Per Min Diff: 0.002,151) Total Takedowns Absorbed Diff: 0.000,151) Comp Time Diff: 0.008,151) Takedowns Landed Per Min Diff: 0.005,151) Total Head Strikes Absorbed Diff: -0.000,151) Avg Takedowns Absorbed Diff: 0.007,151) Body Strikes Absorbed Diff: 0.001
152) Ko Losses Diff: 0.002,152) Avg Lose Streak Diff: 0.000,152) Avg Total Comp Time Diff: 0.008,152) Total Head Strikes Absorbed Diff: 0.004,152) Sub Attempts Per Min Diff: -0.000,152) Distance Strikes Def Diff: 0.007,152) Avg Sub Absorbed Diff: 0.001
153) Lose Streak Diff: 0.002,153) Clinch Strikes Absorbed Diff: 0.000,153) Sub Acc Diff: 0.007,153) Avg Takedowns Def Diff: 0.004,153) Sub Landed Diff: -0.000,153) Total Sub Absorbed Diff: 0.007,153) Sig Strikes Attempts Per Min Diff: 0.001
154) Takedowns Absorbed Diff: 0.002,154) Avg Total Sub Absorbed Diff: 0.000,154) Total Head Strikes Absorbed Diff: 0.007,154) Control Diff: 0.004,154) Knockdowns Diff: -0.000,154) Lose Streak Diff: 0.007,154) Takedowns Landed Diff: 0.001
155) Avg Sub Absorbed Diff: 0.002,155) Avg Reversals Diff: 0.000,155) Leg Strikes Landed Diff: 0.007,155) Avg Body Strikes Def Diff: 0.004,155) Sub Landed Per Min Diff: -0.000,155) Avg Sub Attempts Per Min Diff: 0.006,155) Avg Sig Strikes Landed Per Min Diff: 0.001
156) Sub Def Diff: 0.002,156) Avg Sub Absorbed Diff: 0.000,156) Takedowns Landed Per Min Diff: 0.006,156) Avg Total Clinch Strikes Absorbed Diff: 0.003,156) Avg Sub Landed Diff: -0.000,156) Avg Win Streak Diff: 0.006,156) Avg Sig Strikes Landed Diff: 0.001
157) Takedowns Landed Diff: 0.002,157) Total Sub Absorbed Diff: 0.000,157) Clinch Strikes Landed Diff: 0.006,157) Avg Leg Strikes Def Diff: 0.003,157) Avg Total Strikes Landed Diff: -0.000,157) Avg Reversals Diff: 0.006,157) Sig Strikes Absorbed Diff: 0.001
158) Sub Acc Diff: 0.002,158) Sub Landed Per Min Diff: 0.000,158) Avg Total Total Strikes Absorbed Diff: 0.004,158) Body Strikes Landed Per Min Diff: 0.003,158) Avg Num Fights Diff: -0.000,158) Win Loss Ratio Diff: 0.006,158) Ground Strikes Absorbed Diff: 0.001
159) Avg Sub Landed Diff: 0.002,159) Knockdowns Diff: 0.000,159) Avg Clinch Strikes Landed Diff: 0.003,159) Avg Sub Attempts Per Min Diff: 0.003,159) Win Streak Diff: -0.000,159) Sub Attempts Per Min Diff: 0.006,159) Total Sub Absorbed Diff: 0.001
160) Total Sub Absorbed Diff: 0.001,160) Reversals Diff: 0.000,160) Avg Leg Strikes Absorbed Diff: 0.003,160) Avg Total Distance Strikes Absorbed Diff: 0.002,160) Avg Stamina Diff: -0.000,160) Sub Absorbed Diff: 0.005,160) Knockdowns Diff: 0.001
161) Sub Landed Per Min Diff: 0.001,161) Sub Absorbed Diff: 0.000,161) Body Strikes Def Diff: 0.002,161) Avg Total Comp Time Diff: 0.001,161) Avg Clinch Strikes Acc Diff: -0.000,161) Reach Diff: 0.004,161) Avg Sub Landed Diff: 0.001
162) Knockdowns Diff: 0.001,162) Comp Time Diff: 0.000,162) Total Strikes Acc Diff: 0.002,162) Sub Acc Diff: 0.001,162) Avg Head Strikes Def Diff: -0.000,162) Avg Total Sub Absorbed Diff: 0.004,162) Reversals Diff: 0.000
163) Reversals Diff: 0.001,163) Avg Comp Time Diff: 0.000,163) Avg Total Clinch Strikes Absorbed Diff: 0.001,163) Leg Strikes Absorbed Diff: 0.001,163) Avg Total Strikes Def Diff: -0.000,163) Sub Landed Per Min Diff: 0.004,163) Sub Acc Diff: 0.000
164) Sub Absorbed Diff: 0.000,164) Avg Body Strikes Acc Diff: 0.000,164) Avg Sub Attempts Per Min Diff: 0.001,164) Avg Distance Strikes Landed Per Min Diff: 0.001,164) Total Sub Absorbed Diff: -0.000,164) Avg Lose Streak Diff: 0.003,164) Sub Absorbed Diff: 0.000
165) Sub Landed Diff: 0.000,165) Sig Strikes Acc Diff: 0.000,165) Avg Ground Strikes Landed Per Min Diff: 0.001,165) Clinch Strikes Absorbed Diff: 0.001,165) Avg Sig Strikes Def Diff: -0.001,165) Avg Sub Landed Per Min Diff: 0.003,165) Comp Time Diff: 0.000
166) Comp Time Diff: 0.000,166) Avg Sub Acc Diff: 0.000,166) Control Diff: 0.000,166) Ground Strikes Landed Diff: 0.001,166) Avg Total Body Strikes Absorbed Diff: -0.001,166) Avg Sub Landed Diff: 0.003,166) Avg Comp Time Diff: 0.000
167) Avg Comp Time Diff: 0.000,167) Sub Landed Diff: 0.000,167) Avg Takedowns Def Diff: 0.000,167) Avg Body Strikes Attempts Per Min Diff: 0.001,167) Avg Total Clinch Strikes Absorbed Diff: -0.001,167) Height Diff: 0.000,167) Sub Landed Diff: 0.000